TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
8772474,639.439,23.6855,7.17559432,0.9600624613564726,-0.6712190000000008,0.5118519270564584,-0.2483732199999989,0.5287879785426765,-0.579094540000001,0.3916971280525928,0.791219,0.3216046,0.0125574490359444,0.0045090989253315,9.32771,,,,,,,[]
457264281,1003.16,133.717,10.58976624,0.0924384334927879,0.2581419999999995,0.1477311582762417,-0.0299260400000007,0.1125285626052337,0.1571337200000003,0.0146144662396265,0.165858,0.0150092,0.2436958410128455,0.2377917423326932,11.0409,7651.0,161.736,3.76906,0.512829,1.79,0.28993,[]
391432398,2559.77,158.9,10.38246896,0.2632292793757029,-0.8073569999999997,0.4345762503532492,0.2666243399999995,0.336453831292274,-0.1941156199999985,0.019674377597543,0.518357,0.0169122,0.3852948590349723,0.2467998252945577,11.7924,,,,,,,[]
145974291,745.91,17.9985,10.452156096,0.042035274893249,0.1430868000000007,0.0990958598511894,-0.0432870160000001,0.0698925866352076,0.0751172880000001,0.0090190034367061,0.0639132,0.0100381849,0.2724414058478704,0.1034211912111226,10.626,8344.0,154.826,2.59633,0.100774,2.06,0.316481,[]
42430804,821.532,25.081,9.94706336,0.1014333870809091,0.1270380000000002,0.1284186501509905,-0.0316455599999994,0.1216831606961292,0.0723050799999998,0.0198649398122533,0.176962,0.01823355,0.0598807405284555,0.0811621300521113,10.4284,8372.0,191.613,3.59092,0.153226,2.07,0.316871,[]
348677189,974.544,37.873,11.579655679999998,0.0772989089627304,-0.1457809999999995,0.3432182702258045,0.1838232200000002,0.1020750705375705,0.1983245399999982,0.0124982231282007,0.141781,0.0113277547,0.4265650273958424,0.1311238282762562,11.9653,7336.0,129.603,2.50498,0.129347,1.66,0.275501,[]
92828790,171.575,0.997,8.402552448,0.0540856911462096,0.3401259000000005,0.0564489135567603,0.0253378419999993,0.0767043333958551,0.2145930940000001,0.0087142549198497,0.0948741,0.00955019,0.0960148668674657,0.0681190916415015,8.66061,7218.0,135.893,1.96409,0.0739598,1.62,0.277297,[]
178008663,1008.63,72.869,10.717788256,0.0158379691983963,0.0495397999999986,0.1111432449095761,0.0894851240000016,0.0414844280545122,0.0075162679999996,0.0073125176990912,0.0234602,0.003902005,0.0744159442616779,0.061538055004955,10.7816,9153.0,133.073,2.72961,0.215515,2.32,0.321878,[]
110106107,2637.22,206.175,11.41375136,0.1421041127579806,-0.1893119999999984,0.21494352704364,-0.0542185600000003,0.1577100851087209,0.0680940800000003,0.0356928037136588,0.215312,0.0341014,0.3080208100747167,0.2078709155263648,11.9994,8415.0,122.0,5.82292,,,,[]
378275980,1774.64,124.52,8.31429184,0.4858248745588315,-0.2655029999999995,0.2912982532980587,-0.1530511399999995,0.3422442666477409,-0.2935519800000012,0.1762446765035815,0.482503,0.1550335,0.0409452235369547,0.0401288278331802,9.6267,,,,,,,[]
64290127,1282.04,46.775,9.43252944,0.4091167507773188,,,,,0.0812733200000007,0.117019406841528,0.535798,0.1136774,0.2113003001019522,0.0336948987292555,10.8899,8285.0,122.0,,,,,"['DISPOSITION=DUPLICATE', 'DROP_GAIA_VMAG']"
319917940,833.086,29.968,10.62028032,0.1009055181021629,0.046081000000001,0.1169572153462111,-0.1122292200000009,0.1225312897559231,-0.0231665400000003,0.0331527684305537,0.121919,0.0295623,0.3553808228234381,0.247180031332284,10.9519,9618.0,423.043,2.21675,0.102593,2.45,0.357806,[]
234964382,528.564,11.936,9.82333232,0.0894149103742659,0.3860559999999999,0.1174341827428879,0.0227412799999997,0.1136810731124579,0.2117769600000001,0.0258910552301107,0.110944,0.0257807,0.1514462481670105,0.1064882320774633,10.1251,7411.05,141.433,2.99312,0.171319,1.69,0.277586,[]
220299224,1534.84,231.465,10.99325008,0.1908622650705473,0.0864890000000007,0.120835540753083,-0.0816341799999998,0.1851324314004707,0.0300827399999993,0.071759767437769,0.168511,0.0629622,0.2108704325069398,0.1590415155940918,11.4516,8850.0,569.226,3.8263,0.528852,2.23,0.399204,[]
427657141,531.363,8.94,9.09412704,0.2116491185652563,0.1224070000000003,0.224418930265146,0.0002346599999999,0.2196047825896558,0.1196286199999992,0.0105723015313151,0.418593,0.01156855,0.0302892321820917,0.0331059991742242,10.2327,7955.0,137.342,3.7251,0.120753,1.91,0.309929,[]
336091799,623.35,10.8325,10.81712768,0.1200789469864819,,,,,0.3114780400000013,0.0261510131383212,0.117306,0.03852145,0.387267799746786,0.0269638472849535,11.1362,6549.0,224.376,,,,,"['DISPOSITION=DUPLICATE', 'DROP_GAIA_VMAG']"
374130970,2773.77,228.37,10.27126608,0.2576878217017113,-0.2604609999999992,0.3373796539781408,0.0564048199999999,0.2674539161318263,0.0050557399999997,0.0252593181682027,0.499461,0.0233604,0.1391856395161197,0.0840374528564301,11.6298,9187.0,123.0,9.17746,,,,[]
271652854,2725.91,236.135,10.47086336,0.376023108969896,0.1390380000000002,0.3897717082615444,-0.0209455600000007,0.3885381161868163,0.1389050800000004,0.0235950964264476,0.741962,0.02256285,0.2147477073706957,0.1382406577856024,12.489,7798.0,123.0,10.4719,,,,[]
418183908,835.905,65.2285,10.58823488,0.1137098042371558,0.1880790000000007,0.1680792143986653,0.0336100200000002,0.1326654721630688,0.1607121399999991,0.0333114790521579,0.143921,0.03236215,0.1296826420877189,0.0516100205362111,10.9797,7623.0,238.527,3.16308,0.257066,1.78,0.300463,[]
308066884,483.0,13.126,9.517525728,0.0359573438732026,0.2072374000000006,0.0650608022535428,-0.0982897879999995,0.0667599594044963,0.0467366839999987,0.0122106529031175,0.0447626,0.0103433747,0.3057005064183036,0.0219909980184401,9.63928,8647.0,165.113,2.4545,0.0946532,2.16,0.322719,[]
219707463,109.46,0.573,6.971660688,0.02698671563262,0.2293078999999994,0.0356461032637706,0.0587398020000006,0.0645750395865345,0.171262814,0.0087645420410792,0.0176321,0.00937667,0.0041417150952286,0.001718097710365,7.01962,7541.0,138.8,2.23315,0.0728015,1.744,0.283595,[]
53974582,2392.1,170.43,9.99661264,0.3971473271800576,0.0221369999999999,0.3966712379287664,0.0955120599999989,0.4105256809704479,0.0738104199999998,0.0352254306635101,0.772863,0.0336863,0.2499672749109114,0.2251977641335841,12.0988,8356.0,125.0,10.2497,,,,[]
326484902,714.546,13.9325,11.1649856,0.0817181516932405,0.1432299999999999,0.2564035356912961,0.0335274000000006,0.1015788953277205,0.1438317999999998,0.0129083533064069,0.15177,0.0111462949,0.2144343367193718,0.1322293595617088,11.5778,7758.0,137.539,2.01181,0.068593,1.83,0.302428,[]
383518759,1435.96,88.385,10.64364832,0.1058787557495939,0.0564810000000003,0.2267414800412432,0.1475427800000008,0.1216505989185832,-0.0633625400000004,0.0105087708112103,0.202519,0.0113671646,0.2125076485394584,0.2519507206436204,11.1945,10346.0,233.842,3.48113,0.215862,2.66,0.357348,[]
50280622,1648.96,101.345,10.55819008,0.1293304657829983,-0.0758859999999996,0.1856385813332993,-0.0594366799999993,0.1473190952083266,0.022815239999999,0.0249472806177279,0.225886,0.0231638,0.1465193840125005,0.0978162303782988,11.1726,8943.0,275.71,4.95289,0.315457,2.26,0.329883,[]
26990452,717.038,717.038,8.5138,2.765574180990993,-0.9429999999999996,1.1289645698603654,-0.0208000000000004,0.7938674641046829,-0.4793000000000001,0.6600276892403834,1.0,1.0,0.1304739837949835,0.0517967785196777,11.2338,9373.0,,2.34323,,,,['GUESS_EBV']
337376644,906.785,24.672,8.318792799999999,0.2867304849123759,-0.152635,0.2856574119112963,-0.0193612999999987,0.2951423103102129,-0.0449391000000015,0.0276398069860213,0.556635,0.0253481,0.1505874046818114,0.1726633589784443,9.83284,9995.0,124.0,6.65937,,,,[]
